Position Size (Notional),Bronze Protected Loss,Bronze Premium,Silver Protected Loss,Silver Premium,Gold Protected Loss,Gold Premium,Platinum Protected Loss,Platinum Premium
$5,000,$1,000,$125.00,$750,$105.00,$600,$90.00,$600,$85.00
$10,000,$2,000,$250.00,$1,500,$210.00,$1,200,$180.00,$1,200,$170.00
$15,000,$3,000,$375.00,$2,250,$315.00,$1,800,$270.00,$1,800,$255.00
$20,000,$4,000,$500.00,$3,000,$420.00,$2,400,$360.00,$2,400,$340.00
$25,000,$5,000,$625.00,$3,750,$525.00,$3,000,$450.00,$3,000,$425.00
$30,000,$6,000,$750.00,$4,500,$630.00,$3,600,$540.00,$3,600,$510.00
$35,000,$7,000,$875.00,$5,250,$735.00,$4,200,$630.00,$4,200,$595.00
$40,000,$8,000,$1000.00,$6,000,$840.00,$4,800,$720.00,$4,800,$680.00
$45,000,$9,000,$1125.00,$6,750,$945.00,$5,400,$810.00,$5,400,$765.00
$50,000,$10,000,$1250.00,$7,500,$1050.00,$6,000,$900.00,$6,000,$850.00
